lat,lng,date,street_id,street_name
53.408415,-2.971900,2021-01,911946,On or near Moor Place
53.400277,-2.965638,2021-01,910470,On or near Bedford Close
53.393343,-2.953736,2021-01,910294,On or near Thames Street
53.391116,-2.938709,2021-01,908974,On or near Arundel Avenue
53.402763,-2.974929,2021-01,910363,On or near Oldham Street
53.401868,-2.961207,2021-01,910123,On or near Melville Place
53.377283,-2.930603,2021-01,906791,On or near Irwell Close
53.410482,-2.989398,2021-01,911788,On or near Parking Area
53.399533,-2.969757,2021-01,910467,On or near Blackburne Place
53.399533,-2.969757,2021-01,910467,On or near Blackburne Place
53.361217,-2.922890,2021-01,905902,On or near The Spinnakers
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.395635,-2.930988,2021-01,909978,On or near Fingland Road
53.402063,-2.971469,2021-01,910412,On or near South Hunter Street
53.408415,-2.971900,2021-01,911946,On or near Moor Place
53.401545,-2.972164,2021-01,910489,On or near Nightclub
53.392575,-2.931508,2021-01,908968,On or near Claremont Road
53.401868,-2.961207,2021-01,910123,On or near Melville Place
53.410732,-2.972193,2021-01,911910,On or near Parking Area
53.401094,-2.981133,2021-01,910323,On or near Henry Street
53.401388,-2.934468,2021-01,909957,On or near Picton Grove
53.384584,-2.964305,2021-01,908586,On or near Park Road
53.400462,-2.911240,2021-01,909826,On or near Olive Mount Road
53.384195,-2.962357,2021-01,908573,On or near St Lawrence Close
53.400748,-2.933507,2021-01,909939,On or near Willow Road
53.401569,-2.978061,2021-01,910390,On or near Back Colquitt Street
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.391750,-2.930031,2021-01,908936,On or near Brookdale Road
53.392879,-2.944342,2021-01,908763,On or near Hartington Road
53.402398,-2.924774,2021-01,910024,On or near Rathbone Road
53.398726,-2.966249,2021-01,910413,On or near Sir Howard Street
53.393454,-2.936309,2021-01,910088,On or near Supermarket
53.393533,-2.946823,2021-01,910291,On or near Laurel Grove
53.397329,-2.962247,2021-01,910435,On or near Lowther Street
53.379692,-2.919020,2021-01,906821,On or near Palmerston Road
53.401514,-2.989130,2021-01,910539,On or near Strand Street
53.384584,-2.964305,2021-01,908586,On or near Park Road
53.398526,-2.963192,2021-01,910452,On or near Falkner Square
53.406935,-2.990098,2021-01,911797,On or near Sweeting Street
53.395527,-2.928775,2021-01,910021,On or near Rose Court
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.397945,-2.945943,2021-01,910264,On or near Corney Street
53.387712,-2.973157,2021-01,908577,On or near Rutter Street
53.380387,-2.937090,2021-01,908975,On or near Park/open Space
53.379352,-2.959857,2021-01,906872,On or near Dingle Lane
53.380396,-2.942758,2021-01,908854,On or near Livingston Drive North
53.405122,-2.981075,2021-01,910348,On or near Shopping Area
53.402763,-2.974929,2021-01,910363,On or near Oldham Street
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.409278,-2.976267,2021-01,912029,On or near London Road
53.407953,-2.983247,2021-01,912053,On or near Parking Area
53.392243,-2.945110,2021-01,908760,On or near Maple Grove
53.404521,-2.983077,2021-01,910318,On or near Old Post Office Place
53.395372,-2.975212,2021-01,910361,On or near Pine Mews
53.407963,-2.988662,2021-01,911851,On or near Dale Street
53.406935,-2.990098,2021-01,911797,On or near Sweeting Street
53.407963,-2.988662,2021-01,911851,On or near Dale Street
53.408577,-2.972926,2021-01,911970,On or near Greek Street
53.396179,-2.949829,2021-01,910225,On or near Maitland Street
53.400336,-2.974964,2021-01,910367,On or near Knight Street
53.389572,-2.976613,2021-01,908707,On or near Upper Mann Street
53.391519,-2.933244,2021-01,908962,On or near Rossett Avenue
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.406138,-2.990771,2021-01,911906,On or near Castle Street
53.401958,-2.974400,2021-01,910441,On or near Leece Street
53.392650,-2.947134,2021-01,908761,On or near Lime Grove
